"Description (English)","Description (français)","GSIN Description (English)","Description du NIBS (français)","GSIN Code/Code NIBS","Vendor Legal Name/Dénomination sociale du fournisseur","Vendor Operating Name/Nom commercial du fournisseur","End User","Utilisateur final","Start Date/Date de début","End Date/Date de fin","Delivery Point Code/Code du point de livraison","Delivery Point (English)","Point de livraison (français)","Agreement Type (English)","Type d'accord (français)","Standing Offer Number/Numéro d'accord"
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Mallory Consulting Ltd.","Mallory Consulting Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/135/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"SOURCE TECHNICAL GROUP INC.","SOURCE TECHNICAL GROUP INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/136/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"International Safety Research Inc.","International Safety Research Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/137/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Inside Edge Properties Ltd.","Inside Edge Properties Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/138/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Alice Power","ABPower Consulting","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/139/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"NIVA Inc","NIVA Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/140/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"INNOVATIVE CONSTRUCTION INC., VERTERRA CORP., IN JOINT VENTURE",ICPM-verTerra,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/141/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"BDA Real Estate Development Services Inc.","BDA Real Estate Development Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/142/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"Turner and Townsend cm2r","TURNER & TOWNSEND CM2R INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-10-31,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/143/ZN
"TSPS Solutions Based","SPICS (centrés sur les solutions)","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"MGIS INC.","MGIS INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/144/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Canadian Development Consultants International Inc.","CDCI Research","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/145/ZN
"TSPS Solutions Based","SPICS (centrés sur les solutions)","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"First Porter","Louis Facchini","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/146/ZN
"TSPS Solutions Based","SPICS (centrés sur les solutions)","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Wirehead Corporation",Wirehead,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/147/ZN
"TSPS Solutions Based","SPICS (centrés sur les solutions)","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Checkwell Decision Corporation",BackCheck,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2011-12-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/148/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Science-Metrix Inc.","Science-Metrix Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-03-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/149/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Taligent Consulting Inc.","Taligent Consulting Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-03-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/150/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Administrative and Management Support Services","Services de soutien administratif et de soutien à la gestion",R199B,"Le Groupe Conseil Bronson Consulting Group, Inc.","Bronson Consulting Group","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-03-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/151/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"FoTenn Planning & Urban Design","FoTenn Consultants Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-06-18,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/152/ZN
"TSPS Solutions Based","TSSPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"Optimus SBR Inc.","OPTIMUS | SBR","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-06-18,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/153/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"ZW Project Management Inc","ZW Project Management Inc","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-06-18,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/154/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"HDR Corporation","HDR Decision Economics","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-06-18,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/155/ZN
"TSPS Solutions Based","SPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"ONPATH BUSINESS SOLUTIONS INC.","ONPATH BUSINESS SOLUTIONS INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-06-18,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/156/ZN
"TSPS RFSA Solutions Based","SPTS centrés sur les solutions","Professional Services","Services professionnels",R019BF,"GOVERNANCE RESEARCH INNOVATION DEVELOPMENT (GRID) CORP., DAOOD AIDROOS, IN JOINT VENTURE",Servicebook,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-06-18,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/157/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"KWA Partners (Ottawa) Limited","KWA Partners (Ottawa) Limited","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/158/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Linear Project Services Inc.","Linear Project Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/159/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Johnston Research Inc.","Johnston Research Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/160/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Merkur inc.","Merkur inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/161/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Peter Cameron and Associates Inc, 2060945 Ontario Inc, Terrence Pender and Elizabeth Nielsen in Joint Venture","Peter Cameron and Associates Inc, 2060945 Ontario Inc, Terrence Pender and Elizabeth Nielsen in Joint Venture","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-09-19,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/162/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Presidia Security Consulting Incorporated","Presidia Security Consulting Incorporated","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/163/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"RainMakers Consulting Services Inc.","RainMakers Consulting Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/164/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Alion Science and Technology (Canada) Corporation","Alion Canada","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/165/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Hickling Arthurs Low Corporation",HAL,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/166/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"FMC Professionals Inc., Lean Advisors (Canada) Inc., in JOINT VENTURE","FMC Professionals Inc.,","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/167/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"MRSB Consulting Services Inc.","MRSB Consulting Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/168/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"Eperformance Inc.","Eperformance Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/169/ZN
"TSPS (Solutions Based)","SPTS (centrés sur les solutions)","Professional Services","Services professionnels",R019BF,"CS Transform Limited","CS Transform Limited","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-12-17,2015-07-01,NA,National,Nationale,SA,AMA,E60ZN-090003/170/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Tiree Facility Solutions Inc.","Tiree Facility Solutions Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/001/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"THE AIM GROUP INC.","AIM Group Inc., The","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/002/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Turtle Technologies Inc.","Turtle Technologies Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/003/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Altis Human Resources (Ottawa) Inc.","Altis Specialized Professional Resources and/or AltisSPR","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/004/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Turtle Technologies Inc. and Somos Consulting Group in Joint Venture","TYurtle Technologies Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/005/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"The Universalia Management Group Limited","The Universalia Management Group Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/006/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Ultimate Progress Leadership Group Inc.","Ultimate Progress Leadership Group Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/007/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Valcom Consulting Group Inc.","Valcom Consulting Group Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/008/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Veritaaq Technology House Inc.","Veritaaq Technology House Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/009/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Veralex Consulting Services Ltd.","Veralex Consulting Services Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/010/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"2181721 Ontario Inc","Workplace Institute","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/011/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"7320931 Canada Ltd.","Weippert HR Solutions","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/012/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"3987523 Canada Inc.","WME Consulting Associates","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/013/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Westmark Consulting LLP","Westmark Consulting LLP","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/014/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Yoush Inc.","Yoush Inc","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/015/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Paul Rithaler","Camry Enterprises","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/016/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Y2 CONSULTING PSYCHOLOGISTS INC. / PSYCHOLOGUES CONSULTANTS Y2 INC.","Y2 CONSULTING PSYCHOLOGISTS INC. / PSYCHOLOGUES CONSULTANTS Y2 INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/017/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Zylog Systems (Ottawa) Ltd","Zylog Systems (Ottawa) Ltd","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/018/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Peter J. Kindree Architect","Peter J. Kindree Architect","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/020/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Project Services International (pbjrt) Inc.","Project Services International PSI","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/021/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Project Services International (PBJRT) Inc., QLBS.Com Ltd., and PLAN:NET Ltd. in JOINT VENTURE","Project Services International (PBJRT) Inc., QLBS.Com Ltd., and PLAN:NET Ltd. in JOINT VENTURE","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/022/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Promaxis Systems Inc. and DAMA Consulting Services Limited in a Joint Venture","Promaxis and DAMA in Joint Venture","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/023/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Promaxis Systems Inc.","Promaxis Systems Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/024/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Performance Management Network Inc.","Perfomance Management Network Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/025/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Procom Consultants Group Ltd",Procom,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RISO,OCIR,E60ZN-110001/026/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Power Analysis Inc.","Power Analysis Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/027/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Alika Internet Technologies Inc.","Alika Internet Technologies Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/028/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Artemp Personnel Services Inc.","Artemp Personnel Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/029/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Altis Human Resources (Ottawa) Inc, .Excel Human Resources Inc., and Altis Human Resources Inc., in Joint Venture","Altis Human Resources (Ottawa) Inc, .Excel Human Resources Inc., and Altis Human Resources Inc., in Joint Venture","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/030/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Access Corporate Technologies, Inc.","Access Corporate Technologies, Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/031/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Acosys Consulting Services Inc.","Acosys Consulting Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/032/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"A Hundred Answers Inc.","A Hundred Answers Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/033/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"André Filion & Associés Inc. / André Filion & Associates Inc.","André Filion & Associés Inc. / André Filion & Associates Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/034/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"ChangeForward Inc","ChangeForward Inc","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/035/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Corporate Renaissance Group","Corporate Renaissance Group","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/036/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"The Competency Group Inc.","The Competency Group","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/037/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"C M S HUMAN RESOURCES CONSULTANTS INC.","C M S HUMAN RESOURCES CONSULTANTS INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/038/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Collective Staffing and Writing Services Inc.","Collective Staffing and Writing Services Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/039/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"CPCS Transcom Limited","CPCS Transcom Limited","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/040/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"CBRE Limited","CBRE Limited","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/041/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"BURNTEDGE INCORPORATED","BurntEdge Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/042/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,BBPM,"Bernard Benoit Project Management Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/043/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Bluelime Enterprises Inc.",Bluelime,"Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/044/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Bridgetown Consulting Inc.","Bridgetown Consulting Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/045/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Boeing Canada Operations Ltd.","Boeing Canada Operations Ltd.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/047/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Bell Canada","The Bell Telephone Company of Canada or Bell Canada/La Compagnie de Téléphone Bell du Canada ou Bell Canada","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/048/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Le Groupe Conseil Bronson Consulting Group, Inc.","Bronson Consulting Group","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/049/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Bell, Browne, Molnar & Delicate Consulting Inc.","Bell, Browne, Molnar & Delicate Consulting Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/050/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"BP&M Government IM & IT Consulting Inc.","BP&M Consulting","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/051/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Bevertec CST Inc.","Bevertec CST Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/052/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Belham PDS Inc.","Belham PDS Inc.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/053/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"CYRUS ECHO CORPORATION","CYRUS ECHO CORPORATION","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/054/ZN
TSPS,SPTS,"Professional Services","Services professionnels",R019BF,"Gestion Totale de Projet CAL INC.","Gestion Totale de Projet CAL INC.","Public Works & Government Services Canada","Travaux publics et Services gouvernementaux Canada",2012-04-23,2013-10-23,NA,National,Nationale,RMSO,OCPR,E60ZN-110001/055/ZN
